Document,Primary Introducer,Status,Description,Document ID
LB287,General Affairs Committee,Indefinitely postponed,Change provisions relating to the definite profit of pickle cards,6164
LB288,Health and Human Services Committee,Passed,Change provisions relating to health and human services,6105
LB288A,Gay,Passed,Appropriations Bill,8751
LB289,Christensen,Indefinitely postponed,Appropriate funds to the Game and Parks Commission,6895
LB290,Stuthman,Indefinitely postponed,Require criminal history background checks on individuals who transport vulnerable adults and children under contracts with the Department of Health and Human Services,6095
LB290A,Stuthman,Indefinitely postponed,Appropriations Bill,7802
LB291,Lathrop,Indefinitely postponed,"Require rules and regulations regarding safety, care, and habilitation of persons receiving developmental disabilities services",6688
LB292,Lathrop,Passed,Adopt the Nebraska Uniform Athlete Agents Act,6512
LB292A,Lathrop,Passed,Appropriations Bill,8080
LB293,Nantkes,Indefinitely postponed,Adopt the Short-Term Lenders Act and eliminate the Delayed Deposit Services Licensing Act,6439
LB294,Campbell,Passed,Change the length of time for county building levies,6387
LB295,Campbell,Indefinitely postponed,Provide and change recording requirements for filings with the register of deeds,6545
LB296,Dubas,Indefinitely postponed,Change a reciprocal sales and use tax exemption,6773
LB297,Dubas,Indefinitely postponed,Adopt the Nebraska Beginning Farmer and Small Business Linked Deposit Loan Act,6302
LB298,Harms,Indefinitely postponed,Appropriate funds to the Department of Economic Development,6864
LB299,Harms,Passed,Add a member to the Nebraska Safety Center Advisory Council established by the Board of Regents,6740
LB300,Heidemann,Passed,Change bidding requirements for public power and irrigation districts,6501
LB301,Gloor,Indefinitely postponed,Repeal exemption from fees for medical records,6594
LB302,Campbell,Passed,Change provisions relating to transfer of a homestead exemption,6797
LB303,Nordquist,Indefinitely postponed,Exempt social security benefits from income tax,6850
LB304,Council,Indefinitely postponed,Change limitation of action provisions under the Political Subdivisions Tort Claims Act,6693
LB305,Council,Indefinitely postponed,Include state identification card holders in jury lists,6724
LB306,Council,Indefinitely postponed,Repeal the death penalty and replace it with life imprisonment without possibility of parole,6794
LB307,Council,Indefinitely postponed,Change sentencing requirements with respect to certain minors,6795
LB308,Heidemann,Indefinitely postponed,Change levy provisions for rural and suburban fire protection districts,6677
LB309,Schilz,Indefinitely postponed,Provide a capital gains exemption for sale of certain assets,6798
LB310,Haar,Indefinitely postponed,Change provisions relating to deaf and hard of hearing persons,6411
LB311,Speaker Flood,Passed,Provide for deficit appropriations ,6606
LB312,Speaker Flood,Passed,Appropriate funds for salaries of members of the Legislature,6611
LB313,Speaker Flood,Passed,Appropriate funds for salaries of constitutional officers,6494
LB314,Speaker Flood,Passed,Appropriate funds for capital construction,6495
LB315,Speaker Flood,Passed,Appropriate funds for state government expenses,6568
LB316,Speaker Flood,Passed,Change provisions relating to certain funds and provide for transfers of funds,6607
LB317,Speaker Flood,Passed,Provide for transfers from the Cash Reserve Fund,6748
LB318,Speaker Flood,Passed,Change provisions governing depreciation charges for capital improvement projects,6608
LB319,Speaker Flood,Indefinitely postponed,Change provisions relating to child care reimbursement,6805
LB320,Friend,Indefinitely postponed,Change highway funding provisions and motor fuel taxes,6382
LB321,Avery,Indefinitely postponed,Provide for state employees to participate in mentoring programs,6752
LB322,Avery,Passed,Prohibit nepotism and supervision of family members by executive branch officials and employees,6331
LB323,Fulton,Indefinitely postponed,Change distribution of motor vehicle tax proceeds,6602
LB324,Nelson,Indefinitely postponed,Provide for designation of voting entrances and change restrictions on electioneering,6776
LB325,Nelson,Passed,Change provisions relating to elections,6775
LB326,Rogert,Indefinitely postponed,Change provisions relating to the Comprehensive Health Insurance Pool Act,6374
LB327,Pahls,Passed,Change regulatory provisions regarding financial institutions and entities,6825
LB328,Pahls,Passed,"Change banking, mortgage bankers, and installment loan provisions",6719
LB328A,Pahls,Passed,Appropriations Bill,8017
LB329,Cornett,Indefinitely postponed,Provide for firefighter license plates and training for emergency response personnel,6876
LB330,Transportation and Telecommunications Committee,Indefinitely postponed,Change telecommunications provisions relating to the Public Service Commission,6664
LB331,Transportation and Telecommunications Committee,Passed,Change Department of Motor Vehicles provisions,6807
LB332,Ashford,Indefinitely postponed,Change provisions relating to courts,6609
LB333,Ashford,Indefinitely postponed,Increase and provide for court fees,6616
LB334,Giese,Indefinitely postponed,Designate the state expressway system and change provisions relating to highway planning,6823
LB335,Friend,Indefinitely postponed,Require electronic employee verification for certain tax incentives,6745
LB336,Friend,Indefinitely postponed,Exempt municipal water from sales tax,6726
LB337,Friend,Indefinitely postponed,Change restrictions on advertising and promotional materials relating to the Nebraska educational savings plan trust ,6799
LB338,Friend,Indefinitely postponed,Change weed height requirements for cities and villages,6455
LB339,Friend,Passed,Change community development authority provisions relating to cities and villages,6454
LB340,Cook,Passed,Require the Coordinating Commission for Postsecondary Education to facilitate a study of the Nebraska community college system,6333
LB341,Cook,Indefinitely postponed,Change provisions relating to tuberculosis detection and prevention,6104
LB342,Gay,Passed,Provide duties for the Department of Health and Human Services relating to payment for pediatric feeding disorder treatment,6755
LB342A,Gay,Passed,Appropriations Bill,8677
LB343,Ashford,Passed,Designate the time a judge's term ends,6615
LB344,Ashford,Indefinitely postponed,Change administration of the Civil Legal Services Program,6614
LB345,Gay,Indefinitely postponed,Change juvenile court jurisdiction to exclude school truancy ,6096
LB346,Gay,Indefinitely postponed,Adopt the Children and Family Behavioral Health Support Act,6889
LB346A,Gay,Indefinitely postponed,Appropriations Bill,7841
LB347,Cornett,Passed,Eliminate governmental agency liability with respect to dogs,6457
LB348,Janssen,Passed,Authorize access to tax statements at the office of the register of deeds,6893
LB349,Lautenbaugh,Indefinitely postponed,Change provisions relating to recall of elected officials,6626
LB350,Lautenbaugh,Indefinitely postponed,Change provisions relating to real estate tracts and the designation of industrial areas,6453
LB351,Lautenbaugh,Indefinitely postponed,Provide for charging orders against a limited liability company member's transferable interest,6577
LB352,Lautenbaugh,Indefinitely postponed,Change civil procedure service of summons provisions,6578
LB353,Lautenbaugh,Indefinitely postponed,Change pleading provisions in an action for disputed corners and boundaries ,6575
LB354,Lautenbaugh,Indefinitely postponed,Provide for cross-appeals in contested cases under the Administrative Procedure Act,6579
LB355,Lautenbaugh,Passed,Authorize cigar bars under the Nebraska Liquor Control Act and provide duties for owners of cigar bars,6766
LB356,Dubas,Indefinitely postponed,Direct distribution of General Funds for Nebraska children in need of behavioral health services ,6591
LB356A,Dubas,Indefinitely postponed,Appropriations Bill,7768
LB357,Hadley,Indefinitely postponed,Change the cigarette tax collection commission,6828
LB358,Pahls,Passed,Change the Comprehensive Health Insurance Pool Act,6295
LB359,Nelson,Indefinitely postponed,Change provisions relating to the Nebraska Cultural Preservation Endowment Fund,6733
LB360,Cook,Passed,Authorize creation of a land reutilization authority by a city of the metropolitan class,6588
LB361,Avery,Passed,"Authorize and change requirements for videoconferencing, telephone conferences, and electronic voting devices for public meetings",6172
LB362,Avery,Indefinitely postponed,Change requirements for candidate filing forms,6771
LB363,Avery,Indefinitely postponed,Prohibit certain expenditures by campaign committees,6770
LB364,Pankonin,Indefinitely postponed,Permit school districts to exceed expenditure limits for costs relating to voluntary termination agreements,6874
LB365,Pankonin,Indefinitely postponed,Change retirement annuity provisions under the Judges Retirement Act,6584
LB366,Pankonin,Indefinitely postponed,Increase the mandatory contribution rate under the State Employees Retirement Act,6877
LB367,Gloor,Indefinitely postponed,Change health care certificate of need provisions,6902
LB368,Mello,Indefinitely postponed,Change point system violation regarding reckless driving and willful reckless driving,6589
LB369,Nantkes,Indefinitely postponed,Appropriate funds for the Every Woman Matters Program,6528
LB370,Nantkes,Indefinitely postponed,Require a medicaid waiver application for family planning services,6435
LB371,Campbell,Indefinitely postponed,Change Medicaid Reform Plan and Medicaid Reform Council provisions,6810
LB372,Campbell,Passed,Change provisions relating to the release of driver's license digital images or digital signatures,6170
LB373,Lautenbaugh,Passed,Change death and disability-related provisions pertaining to emergency response personnel,6774
LB374,Lautenbaugh,Indefinitely postponed,Authorize recovery of costs as part of the settlement of a civil action,6563
LB375,Lautenbaugh,Indefinitely postponed,Increase claim amount and provide for payment for costs for certain civil suits,6564
LB376,Fulton,Indefinitely postponed,Provide an income tax credit for certain qualified residents caring for dependents as prescribed,6619
LB377,Pankonin,Passed,Adopt the Nebraska Governmental Unit Credit Facility Act,6817
LB378,Gloor,Indefinitely postponed,Require insurance coverage of medical clinical trials,6852
LB379,Haar,Passed,Extend a scrap tire grant program,6408
LB380,Rogert,Indefinitely postponed,Change a state aid program relating to Indian reservations,6736
LB381,Rogert,Indefinitely postponed,Adopt the Community Improvement District Act and the Transportation Development District Act,6183
LB382,Rogert,Indefinitely postponed,Provide for voter registration on election day at the election office,6851
LB383,Pahls,Indefinitely postponed,Provide for limited immunity from prosecution under the Uniform Controlled Substances Act,6118
LB384,Pahls,Indefinitely postponed,Authorize release to federal civil authorities of certain information under the Motor Vehicle Operator's License Act,6910
LB385,Pahls,Indefinitely postponed,Terminate sales tax provisions,6068
LB386,Pahls,Indefinitely postponed,"Change and suspend sales tax exemptions, change collection fees, change tax rates, state intent relating to property tax relief",6234
LB387,Gay,Indefinitely postponed,Eliminate certain taxing authority of learning communities and change state aid calculations ,6064
LB388,Langemeier,Indefinitely postponed,Change public power district officials compensation provisions,6716
LB389,Carlson,Passed,Change membership provisions for the Climate Assessment Response Committee,6747
LB390,Coash,Indefinitely postponed,State intent regarding reimbursement rates for assisted services for persons with developmental disabilities,6551
LB391,Adams,Indefinitely postponed,Change the manner of distribution of tax revenue within learning communities,6451
LB392,Adams,Passed,Change learning community provisions and school district warrant provisions,6671
LB393,Adams,Indefinitely postponed,Change agenda provisions for meetings of the Educational Service Unit Coordinating Council,6419
LB394,Fulton,Passed,Define unprofessional conduct for physicians with regard to anatomic pathology services,6723
LB395,Fulton,Indefinitely postponed,Adopt the Stroke Registry Act,6756
LB396,Gloor,Passed,Adopt the Medical Home Pilot Program Act,6601
LB397,Nordquist,Indefinitely postponed,Adopt the State Scholarship Award Program Act and the Scholarship Assistance Program Act and repeal the Nebraska Scholarship Act,6730
LB398,Nordquist,Indefinitely postponed,Provide for collegiate spirit license plates for private colleges and universities,6737
LB399,Lautenbaugh,Indefinitely postponed,Change residency provisions relating to the Nebraska Scholarship Act,6731
LB400,Lautenbaugh,Indefinitely postponed,Change fiscal year provisions for calculation of community college base revenue need,6332
LB401,Friend,Indefinitely postponed,Adopt the High Priority Surface Transportation Development Act and the Surface Transportation Revolving Fund Act,6725
LB402,Avery,Passed,Change the Convention Center Facility Financing Assistance Act and authorize investment of public endowment funds,6954
LB403,Karpisek,Passed,"Require verification of lawful presence in the United States for certain public benefits, public employment, contracting with public bodies, and tax incentive programs",6350
LB404,Cornett,Indefinitely postponed,Adopt the Reduced Cigarette Ignition Propensity Act ,6822
LB405,Cornett,Indefinitely postponed,Change income tax provisions related to planned gifts,6358
LB405A,Cornett,Indefinitely postponed,Appropriations Bill,8322
LB406,Fulton,Indefinitely postponed,Permit certified nurse midwives to have clinical privileges in hospitals,6346
LB407,Dierks,Indefinitely postponed,Provide civil penalties for engaging in veterinary medicine and surgery without authorization,6154
LB408,Dierks,Indefinitely postponed,Authorize consultation between veterinarians and other health care professionals,6153
LB409,Dierks,Indefinitely postponed,Provide violations and penalties for offenses against arson dogs,6150
LB410,Karpisek,Indefinitely postponed,Change provisions relating to recounts of elections,6812
LB411,Giese,Passed,Update the references to the National Electrical Code in the State Electrical Act,6884
LB412,Giese,Passed,Change provisions relating to sanitary and improvement district elections,6355
LB413,Ashford,Indefinitely postponed,Adopt the College Choice Grant Program Act,6729
LB414,Ashford,Passed,Change salary and retirement provisions for judges and a fee,6583
LB414A,Ashford,Passed,Appropriations Bill,8124
LB415,Christensen,Indefinitely postponed,Prohibit tobacco sales from self-service displays,6638
LB416,Fulton,Indefinitely postponed,Provide for one license plate on motor vehicles,6620
LB417,Friend,Indefinitely postponed,Change provisions of the Optometry Practice Act,6759
LB418,Price,Indefinitely postponed,Require valuation changes by the Tax Equalization and Review Commission among counties which have learning communities,6914
LB419,Hadley,Indefinitely postponed,Eliminate limits on tax credits under the Nebraska Advantage Microenterprise Tax Credit Act,6952
LB420,Hadley,E and R Engrossing,Change a sales tax exemption relating to nonprofit organizations,6926
LB421,Nordquist,Indefinitely postponed,Suspend collection of fuel tax on compressed natural gas for a prescribed period,6565
LB422,Cornett,Passed,Define veteran of the Global War on Terror ,6848
LB423,Cornett,Indefinitely postponed,Change child custody provisions and the Parenting Act,6702
LB424,Pankonin,Indefinitely postponed,Change mandatory contribution rates under the Judges Retirement Act,6922
LB425,Pankonin,Indefinitely postponed,Change mandatory contribution rates under the Nebraska State Patrol Retirement Act,6923
LB426,Pankonin,Indefinitely postponed,Name and change provisions relating to the Police Officers Retirement Act,6639
LB427,Pankonin,Indefinitely postponed,Adopt the County Law Enforcement Officer Retirement Act,6698
LB428,Christensen,Indefinitely postponed,Authorize deposit of public funds in credit unions and clarify Federal Deposit Insurance Corporation and National Credit Union Administration coverage,6892
LB429,Christensen,Indefinitely postponed,Change employment provisions of persons committed to the Department of Correctional Services,6855
LB430,Christensen,Passed,Change provisions relating to the Concealed Handgun Permit Act  ,6960
LB431,McGill,Indefinitely postponed,Change Delayed Deposit Services Licensing Act provisions,6753
LB432,Nelson,Passed,Change provisions relating to the Uniform Disposition of Unclaimed Property Act,6912
LB433,Lathrop,Indefinitely postponed,Change provisions relating to interchange of court judges and court jurisdiction,7010
LB434,Janssen,Passed,Change ballot questions regarding township organization,6754
LB435,Janssen,Indefinitely postponed,"Change fee provisions related to modular housing units, manufactured homes, and recreational vehicles",6209
LB436,Haar,Passed,Provide for net metering of electricity,6796
LB437,Haar,Indefinitely postponed,Create the Wind Energy Development Zone Task Force,6793
LB438,Fischer,Indefinitely postponed,Prohibits instream appropriations in fully or overappropriated areas,6496
LB439,Fischer,Indefinitely postponed,Adopt the Home Energy Alternatives Act,6526
LB440,Council,Passed,Change diversity criteria under the Student Diversity Scholarship Program Act and change provisions relating to postsecondary capital and facility expenditures,6791
LB441,Council,Passed,Change provisions relating to the cost of certain municipal proceeding transcripts,6586
LB442,Council,Indefinitely postponed,Change procedural and relief provisions of the Nebraska Fair Housing Act,6865
LB443,Christensen,Indefinitely postponed,Provide for the regulation of adult and sexually oriented businesses ,6018
LB444,Christensen,Indefinitely postponed,Adopt the Escort Services Accountability and Licensing Act,6017
LB445,Fulton,Passed,Change the Health Insurance Access Act,6598
LB446,Fulton,Passed,Provide for a loan repayment program under the Engineers and Architects Regulation Act,6913
LB447,Schilz,Passed,Change a beginning farmer or livestock producer qualification under the Beginning Farmer Tax Credit Act,6919
LB448,Campbell,Indefinitely postponed,Require an influenza vaccination pilot program,6999
LB449,Campbell,Passed,Change disability retirement allowance provisions of the School Employees Retirement Act,6412
LB450,Campbell,Passed,Change Nebraska State Capitol Environs District height restriction provisions,6904
LB451,Campbell,Indefinitely postponed,Rename the Hearing Aid Instrument Dispensers and Fitters Practice Act,6133
LB452,Avery,Indefinitely postponed,Adopt the Advance Directives Identification Act,6180
LB453,Rogert,Indefinitely postponed,Change provisions relating to an employer notice that employees are not covered by workers' compensation insurance,6653
LB454,Lathrop,Indefinitely postponed,Change Nebraska Health Care Cash Fund provisions,7017
LB455,Nordquist,Indefinitely postponed,Provide renewable energy sales and use tax credit and exemption for eligible entities,6500
LB456,Heidemann,Passed,Change provisions relating to the Cash Reserve Fund,6836
LB457,Friend,Indefinitely postponed,Change provisions relating to certified nurse midwives,6344
LB458,Harms,Passed,Provide for vocational training for public assistance recipients,6899
LB459,Harms,Indefinitely postponed,Appropriate funds for the Stay in the Game Program,6871
LB460,Friend,Indefinitely postponed,Change a sales tax exemption for nonprofit hospitals,6924
LB461,Adams,Indefinitely postponed,Change provisions relating to the Commissioner of Education and the State Board of Education,6390
LB462,Dierks,Indefinitely postponed,Change provisions relating to human immunodeficiency virus testing ,6687
LB463,Dierks,Passed,"Provide for licensure of animal therapists, change authorization for collaborative animal health care tasks and veterinary drug distribution definitions, and change distribution of veterinary legend drugs provisions ",6686
LB463A,Dierks,Passed,Appropriations Bill,8393
LB464,Gay,Passed,Require certain booster immunizations for students entering seventh grade,6814
LB464A,Gay,Passed,Appropriations Bill,7479
LB465,Christensen,Indefinitely postponed,Provide for videoconferencing and telephone conferences for educational service unit board meetings,6983
LB466,Wallman,Indefinitely postponed,Eliminate an excise tax on corn and grain sorghum,6959
LB467,McCoy,Indefinitely postponed,Require voter approval for annexation of cities or villages,6945
LB468,Karpisek,Indefinitely postponed,Appropriate funds to the Department of Health and Human Services,6738
LB469,Karpisek,Indefinitely postponed,Create the Agricultural Land Valuation Task Force,6829
LB470,Pirsch,Indefinitely postponed,Establish a limit on certain city occupation taxes,6760
LB471,Fulton,Indefinitely postponed,Change public power special generation application provisions,6915
LB472,Fulton,Indefinitely postponed,Change payment terms for scrap copper and catalytic converters,6746
LB473,Louden,Indefinitely postponed,Adopt the Nebraska Elementary Attendance Region Act,6447
LB474,Stuthman,Indefinitely postponed,Change provisions relating to property exempt from property taxes,7022
LB475,Stuthman,Passed,Change duties of county comptroller and create office of auditor,6917
LB476,Stuthman,Passed,Adopt the Center for Student Leadership and Extended Learning Act and repeal the Career Education Partnership Act,6927
LB476A,Stuthman,Passed,Appropriations Bill,8441
LB477,Carlson,Passed,Change provisions relating to water transfer permits,6916
LB478,Rogert,Indefinitely postponed,Provide for alcoholic liquor sale and consumption on Game and Parks Commission property,6981
LB479,Rogert,Indefinitely postponed,Change enrollment provisions relating to early childhood education,6743
LB480,Dierks,Indefinitely postponed,Change budget limit and tax levy limitation provisions,6820
LB481,Haar,Indefinitely postponed,Eliminate restrictions on midwives attending home deliveries,6345
LB482,Langemeier,Indefinitely postponed,Change provisions of the Nebraska Ground Water Management and Protection Act,7021
LB483,Langemeier,Passed,Change provisions relating to water well permits,6921
LB484,Stuthman,Indefinitely postponed,Provide for partial payment of insurance policy proceeds to a city or village by ordinance,6459
LB485,Cornett,Indefinitely postponed,Exempt natural gas from sales tax and impose an excise tax on natural gas,6031
LB486,Karpisek,Indefinitely postponed,Require certain governmental entities to identify themselves as such in their official name,6906
LB487,Dubas,Indefinitely postponed,Adopt the Volunteer Emergency Responders Incentive Act and provide an income tax credit,6676
LB488,Gloor,Passed,Change provisions relating to veterans' homes,7000
LB489,Sullivan,Indefinitely postponed,Adopt the Area Health Education Centers Act,6554
LB489A,Sullivan,Indefinitely postponed,Appropriations Bill,8033
LB490,Giese,Indefinitely postponed,Change provisions relating to nonresident hunting permits,6888
LB491,Haar,Indefinitely postponed,Provide for home energy efficiency loans,6977
LB492,Haar,Indefinitely postponed,Provide for funding certain positions at the University of Nebraska-Lincoln,6993
LB493,Karpisek,Indefinitely postponed,Require insurance coverage for cochlear implants,6968
LB494,McCoy,Passed,Require animal health care professionals to report cases of animal abuse and change dangerous dog provisions,6590
LB495,Friend,Passed,"Change provisions relating to annexation, additions, and control of weeds by cities and villages",6452
LB496,Fulton,Indefinitely postponed,Authorize enforcement of traffic control signal violations by automated traffic enforcement systems,6989
LB497,Fulton,Passed,Change employment driving permit and ignition interlock device provisions and penalties,6542
LB497A,Fulton,Passed,Appropriations Bill,8416
LB498,Fulton,Passed,Add trustees to the board of Wyuka Cemetery and require statements of conflicts of interest,6801
LB499,Dubas,Indefinitely postponed,Allow breast-feeding as prescribed,6111
LB500,Karpisek,Passed,Authorize certain cities and villages to use funds for the general care of cemeteries,6818
LB501,Sullivan,Passed,"Change provisions relating to submission of ballot issues, candidate filing form requirements, and elections by mail",6881
LB502,Langemeier,Indefinitely postponed,Change the Petroleum Release Remedial Action Act,6953
LB503,Langemeier,Passed,Adopt the Nebraska Shooting Range Protection Act,7018
LB504,Langemeier,Indefinitely postponed,Authorize permits and provide penalties relating to discharge of dredged or fill material into the waters of the state,6942
LB505,Pirsch,Indefinitely postponed,Create the Economic Development Committee of the Legislature,7030
LB506,Pirsch,Indefinitely postponed,Change penalties related to the duty to stop at a motor vehicle accident,7025
LB507,Pirsch,Passed,Provide for payment of prenatal services in certain situations and change domestic assault and child abuse provisions,6967
LB508,Pirsch,Indefinitely postponed,Prohibit certain gang-related initiations,6841
LB509,Pirsch,Indefinitely postponed,Redefine election period for the Campaign Finance Limitation Act,7065
LB510,Pirsch,Passed,Provide funding for compensation of victims of crime and for rehabilitation of certain offenders,6339
LB511,Wallman,Passed,Redefine intermediate care facility for purposes of certificate of need,6965
LB512,Lautenbaugh,Passed,Change airport zoning provisions relating to the regulation of airport hazards,6460
LB513,Lautenbaugh,Indefinitely postponed,Eliminate subrogation and contribution rights against a political subdivision or the state for property damage related to vehicular pursuit,6256
LB514,Lautenbaugh,Indefinitely postponed,Change workers' compensation disability compensation provisions,6955
LB515,Flood,Indefinitely postponed,Change provisions relating to emergency medical responders,6659
LB516,Hansen,Indefinitely postponed,Require compensation for certain structures located on the Nebraska State Fairgrounds in Lancaster County,6808
LB517,Hansen,Passed,Change provisions relating to family reunification and termination of parental rights,7005
LB518,McGill,Indefinitely postponed,Change provisions relating to homicide and other criminal offenses and penalties,6931
LB519,McGill,Indefinitely postponed,Provide for rate increases for behavioral health care providers and create the Provider Reimbursement Rate Commission,6944
LB520,Hadley,Indefinitely postponed,Provide for an income tax credit for perpetual conservation easement donations,6998
LB521,Pankonin,Indefinitely postponed,Provide additional tax levy authority for learning communities,7001
LB522,Urban Affairs Committee,Passed,Change provisions relating to the use of funds by volunteer fire and rescue departments,7059
LB523,Urban Affairs Committee,Indefinitely postponed,Change provisions regarding funds collected by volunteer fire and rescue departments,7060
LB524,Friend,Passed,Increase fines for handicapped parking infractions,7061
LB525,Friend,Indefinitely postponed,Change tax levy and economic development programs of cities and villages,7062
LB526,Friend,Indefinitely postponed,Provide requirements for land annexation by certain cities and villages,7064
LB527,Fulton,Indefinitely postponed,Require installation of automatic vehicle location system devices in state-owned vehicles,7083
LB528,Fulton,Passed,"Authorize electronic transmissions as a means of notice, delivery, and appointment under the Business Corporation Act",7058
LB529,Pahls,Indefinitely postponed,Transfer ownership of certain computer equipment from the Secretary of State to county clerks ,6982
LB530,Sullivan,Indefinitely postponed,Change enrollment provisions relating to early childhood education,6929
LB531,Sullivan,Passed,Redefine a term under the Nebraska Advantage Microenterprise Tax Credit Act,6920
LB532,Price,Passed,Provide for the adoption of ordinances by counties,7011
LB533,Price,Passed,"Change expense reimbursement provisions for state employees, state officers, and others",6255
LB534,Price,Indefinitely postponed,Change provisions relating to learning community diversity plans,6897
LB535,Stuthman,Indefinitely postponed,Change membership of the Nebraska Natural Resources Commission and provisions relating to natural resources districts,7006
LB536,Stuthman,Indefinitely postponed,Authorize creation of transportation development districts and imposition of a local sales tax,6282
LB537,Giese,Passed,Change provisions relating to the hours of duty of firefighters,6815
LB538,Giese,Indefinitely postponed,Exempt government employee retirement benefits from income tax,7067
LB539,Coash,Indefinitely postponed,Authorize a refund of sales tax on certain residential building products,6549
LB540,Gay,Passed,Change membership of the Children's Behavioral Health Task Force,7086
LB541,Campbell,Indefinitely postponed,Exempt certain adult dental services from medicaid limitations,6949
LB542,Campbell,Indefinitely postponed,Provide for rules and regulations regarding dental assistants,6847
LB543,Campbell,Indefinitely postponed,Provide an exemption from motor vehicle industry licensing requirements,6972
LB544,Giese,Indefinitely postponed,Require the Secretary of State to publish guidelines for election workers,6994
LB544A,Giese,Indefinitely postponed,Appropriations Bill,7785
LB545,Adams,Passed,"Adopt, change, and eliminate provisions relating to school funding and state aid to schools",6477
LB545A,Adams,Passed,Appropriations Bill,8814
LB546,Adams,Indefinitely postponed,Change school organization provisions,6502
LB547,Adams,Passed,Rename and change provisions relating to the Attracting Excellence to Teaching Program Act,6670
LB547A,Adams,Passed,Appropriations Bill,7769
LB548,Adams,Passed,Change dates for certification of state aid to schools,7054
LB549,Adams,Passed,Change provisions relating to schools,6637
LB550,Avery,Passed,Change provisions relating to Military Department personnel and provide peace officer powers to National Guard members,6420
LB551,White,Passed,Extend the limiting age on sickness and accident insurance policies,6986
LB552,White,Passed,Adopt the Nebraska Construction Prompt Pay Act,6901
LB553,White,Indefinitely postponed,Change certain property tax valuation protest procedures,6701
LB554,White,Indefinitely postponed,Prohibit certain employers from requiring use of paid leave under certain circumstances,6414
LB555,White,Passed,Change provisions relating to a research tax credit ,6869
LB556,White,Indefinitely postponed,Change workers' compensation third-party claims provisions,6824
LB557,Nantkes,Indefinitely postponed,Provide for a fair share representation contribution from employees who are not members of the labor union,7015
LB558,Nantkes,Indefinitely postponed,Require use of funds from the temporary school fund for enhancing salaries of certificated teachers,7013
LB559,Gloor,Indefinitely postponed,Change the Convention Center Facility Financing Assistance Act,6935
LB560,Lathrop,Indefinitely postponed,Change provisions relating to towing motor vehicles,6708
LB561,Lathrop,Passed,"Change public power district eminent domain powers, special generation applications for electric generation facilities, and community-based energy development project provisions",6941
LB562,Lathrop,Passed,Provide for the continued service of metropolitan utilities district board members after annexation,6886
LB563,Lathrop,Passed,Adopt the Employee Classification Act and provide funding for enforcement,6200
LB564,Lathrop,Indefinitely postponed,Require licensure of contractors under the Contractor Registration Act,6950
LB565,Louden,Indefinitely postponed,Adopt the Woody Biomass Energy Act,6541
LB566,Dubas,Indefinitely postponed,Provide tax incentives for windmill manufacturing,6908
LB567,Dubas,Indefinitely postponed,Change provisions relating to the State Energy Office and the Director of the State Energy Office,6415
LB568,Dubas,Passed,Provide requirements for wind agreements,6404
LB569,Dubas,Indefinitely postponed,Appropriate funds for a grant program for school wind projects,6556
LB570,Nordquist,Indefinitely postponed,Exempt museum memberships from sales and use taxes,6441
LB571,Pahls,Passed,Adopt the Guaranteed Asset Protection Waiver Act,6933
LB572,Heidemann,Indefinitely postponed,Change Nebraska Tobacco Settlement Trust Fund provisions,7016
LB573,Nordquist,Indefinitely postponed,Change Conveyance Advisory Committee membership,6566
LB574,Rogert,Indefinitely postponed,Change reporting requirements under the Nebraska Political Accountability and Disclosure Act,6486
LB575,Rogert,Indefinitely postponed,Change initiative and referendum petition provisions,6974
LB576,Rogert,Indefinitely postponed,Provide for licenses for sales of liquor and for consumption of liquor in state parks,7004
LB577,Rogert,Indefinitely postponed,Change provisions relating to improvement project areas of natural resources districts,6969
LB578,Fulton,Indefinitely postponed,State intent relating to the state aid distribution to schools,7053
LB579,Cornett,Passed,Adopt the Professional Employer Organization Registration Act,7049
LB580,Cornett,Indefinitely postponed,Change the standard of review by the Tax Equalization and Review Commission,7012
LB581,Carlson,Indefinitely postponed,Change disposition of funds from Pesticide Act fees and weed book sales,6560
LB582,Dierks,Indefinitely postponed,Create the Nebraska Invasive Species Council,6863
LB583,Dierks,Indefinitely postponed,"Change sales, property, and income tax provisions and education funding",7070
LB584,Dierks,Indefinitely postponed,Adopt the Agricultural Commodities Protection Act,7068
LB585,Dierks,Indefinitely postponed,Adopt the Bovine Trichomoniasis Control Act,7069
LB586,Dierks,Indefinitely postponed,Exempt veterinarians from the Veterinary Drug Distributor Licensing Act,7035
LB587,Dierks,Passed,Exempt animal grooming from sales tax as prescribed,6940
LB588,Dierks,Indefinitely postponed,Adopt the Dog and Cat Purchase Protection Act,6938
LB589,Dierks,Indefinitely postponed,Designate both parents as joint custodians in a child custody determination unless there is proof otherwise,7072
LB590,Dierks,Indefinitely postponed,Change the Disabled Persons and Family Support Act to provide financial compensation and special food and medical needs provided by families,7036
LB591,Dierks,Indefinitely postponed,Change approval provisions relating to electric generation facilities,7033
LB592,Dierks,Indefinitely postponed,Redefine a term under the Rural Health Systems and Professional Incentive Act,6979
LB593,Dierks,Indefinitely postponed,Restrict entity ownership of agricultural land and farm and ranch operations,7032
LB594,Dierks,Passed,Change provisions relating to voluntary and informed consent for abortions,6605
LB595,Karpisek,Indefinitely postponed,Change coroner's examination provisions in motor vehicle accident cases,6907
LB596,Ashford,Indefinitely postponed,Change a legal services fee,6714
